[[0, 1], [2, 3]]
[[0, 1], [2, 11]]
[[0, 1], [2, 23]]
[[0, 1], [2, 35]]
[[0, 1], [2, 43]]
[[0, 1], [2, 55]]
[[0, 1], [6, 3]]
[[0, 1], [6, 7]]
[[0, 1], [6, 35]]
[[0, 1], [6, 39]]
[[0, 1], [10, 11]]
[[0, 1], [10, 23]]
[[0, 1], [10, 43]]
[[0, 1], [10, 55]]
[[0, 1], [14, 7]]
[[0, 1], [14, 15]]
[[0, 1], [14, 39]]
[[0, 1], [14, 47]]
[[0, 1], [34, 3]]
[[0, 1], [34, 11]]
[[0, 1], [34, 23]]
[[0, 1], [34, 35]]
[[0, 1], [34, 43]]
[[0, 1], [34, 55]]
[[0, 1], [38, 3]]
[[0, 1], [38, 7]]
[[0, 1], [38, 35]]
[[0, 1], [38, 39]]
[[0, 1], [42, 11]]
[[0, 1], [42, 23]]
[[0, 1], [42, 43]]
[[0, 1], [42, 55]]
[[0, 1], [46, 7]]
[[0, 1], [46, 15]]
[[0, 1], [46, 39]]
[[0, 1], [46, 47]]
[[0, 9], [2, 3]]
[[0, 9], [2, 11]]
[[0, 9], [2, 23]]
[[0, 9], [2, 35]]
[[0, 9], [2, 43]]
[[0, 9], [2, 55]]
[[0, 9], [6, 3]]
[[0, 9], [6, 7]]
[[0, 9], [6, 35]]
[[0, 9], [6, 39]]
[[0, 9], [10, 11]]
[[0, 9], [10, 23]]
[[0, 9], [10, 43]]
[[0, 9], [10, 55]]
[[0, 9], [22, 23]]
[[0, 9], [22, 55]]
[[0, 9], [34, 3]]
[[0, 9], [34, 11]]
[[0, 9], [34, 23]]
[[0, 9], [34, 35]]
[[0, 9], [34, 43]]
[[0, 9], [34, 55]]
[[0, 9], [38, 3]]
[[0, 9], [38, 7]]
[[0, 9], [38, 35]]
[[0, 9], [38, 39]]
[[0, 9], [42, 11]]
[[0, 9], [42, 23]]
[[0, 9], [42, 43]]
[[0, 9], [42, 55]]
[[0, 9], [54, 23]]
[[0, 9], [54, 55]]
[[0, 21], [2, 3]]
[[0, 21], [2, 11]]
[[0, 21], [2, 23]]
[[0, 21], [2, 35]]
[[0, 21], [2, 43]]
[[0, 21], [2, 55]]
[[0, 21], [6, 3]]
[[0, 21], [6, 7]]
[[0, 21], [6, 35]]
[[0, 21], [6, 39]]
[[0, 21], [10, 11]]
[[0, 21], [10, 23]]
[[0, 21], [10, 43]]
[[0, 21], [10, 55]]
[[0, 21], [22, 23]]
[[0, 21], [22, 55]]
[[0, 21], [34, 3]]
[[0, 21], [34, 11]]
[[0, 21], [34, 23]]
[[0, 21], [34, 35]]
[[0, 21], [34, 43]]
[[0, 21], [34, 55]]
[[0, 21], [38, 3]]
[[0, 21], [38, 7]]
[[0, 21], [38, 35]]
[[0, 21], [38, 39]]
[[0, 21], [42, 11]]
[[0, 21], [42, 23]]
[[0, 21], [42, 43]]
[[0, 21], [42, 55]]
[[0, 21], [54, 23]]
[[0, 21], [54, 55]]
[[0, 31], [2, 3]]
[[0, 31], [2, 11]]
[[0, 31], [2, 23]]
[[0, 31], [2, 35]]
[[0, 31], [2, 43]]
[[0, 31], [2, 55]]
[[0, 31], [6, 3]]
[[0, 31], [6, 7]]
[[0, 31], [6, 35]]
[[0, 31], [6, 39]]
[[0, 31], [10, 11]]
[[0, 31], [10, 23]]
[[0, 31], [10, 43]]
[[0, 31], [10, 55]]
[[0, 31], [22, 23]]
[[0, 31], [22, 55]]
[[0, 31], [34, 3]]
[[0, 31], [34, 11]]
[[0, 31], [34, 23]]
[[0, 31], [34, 35]]
[[0, 31], [34, 43]]
[[0, 31], [34, 55]]
[[0, 31], [38, 3]]
[[0, 31], [38, 7]]
[[0, 31], [38, 35]]
[[0, 31], [38, 39]]
[[0, 31], [42, 11]]
[[0, 31], [42, 23]]
[[0, 31], [42, 43]]
[[0, 31], [42, 55]]
[[0, 31], [54, 23]]
[[0, 31], [54, 55]]
[[0, 33], [2, 3]]
[[0, 33], [2, 11]]
[[0, 33], [2, 23]]
[[0, 33], [2, 35]]
[[0, 33], [2, 43]]
[[0, 33], [2, 55]]
[[0, 33], [6, 3]]
[[0, 33], [6, 7]]
[[0, 33], [6, 35]]
[[0, 33], [6, 39]]
[[0, 33], [10, 11]]
[[0, 33], [10, 23]]
[[0, 33], [10, 43]]
[[0, 33], [10, 55]]
[[0, 33], [14, 7]]
[[0, 33], [14, 15]]
[[0, 33], [14, 39]]
[[0, 33], [14, 47]]
[[0, 33], [34, 3]]
[[0, 33], [34, 11]]
[[0, 33], [34, 23]]
[[0, 33], [34, 35]]
[[0, 33], [34, 43]]
[[0, 33], [34, 55]]
[[0, 33], [38, 3]]
[[0, 33], [38, 7]]
[[0, 33], [38, 35]]
[[0, 33], [38, 39]]
[[0, 33], [42, 11]]
[[0, 33], [42, 23]]
[[0, 33], [42, 43]]
[[0, 33], [42, 55]]
[[0, 33], [46, 7]]
[[0, 33], [46, 15]]
[[0, 33], [46, 39]]
[[0, 33], [46, 47]]
[[0, 41], [2, 3]]
[[0, 41], [2, 11]]
[[0, 41], [2, 23]]
[[0, 41], [2, 35]]
[[0, 41], [2, 43]]
[[0, 41], [2, 55]]
[[0, 41], [6, 3]]
[[0, 41], [6, 7]]
[[0, 41], [6, 35]]
[[0, 41], [6, 39]]
[[0, 41], [10, 11]]
[[0, 41], [10, 23]]
[[0, 41], [10, 43]]
[[0, 41], [10, 55]]
[[0, 41], [22, 23]]
[[0, 41], [22, 55]]
[[0, 41], [34, 3]]
[[0, 41], [34, 11]]
[[0, 41], [34, 23]]
[[0, 41], [34, 35]]
[[0, 41], [34, 43]]
[[0, 41], [34, 55]]
[[0, 41], [38, 3]]
[[0, 41], [38, 7]]
[[0, 41], [38, 35]]
[[0, 41], [38, 39]]
[[0, 41], [42, 11]]
[[0, 41], [42, 23]]
[[0, 41], [42, 43]]
[[0, 41], [42, 55]]
[[0, 41], [54, 23]]
[[0, 41], [54, 55]]
[[0, 53], [2, 3]]
[[0, 53], [2, 11]]
[[0, 53], [2, 23]]
[[0, 53], [2, 35]]
[[0, 53], [2, 43]]
[[0, 53], [2, 55]]
[[0, 53], [6, 3]]
[[0, 53], [6, 7]]
[[0, 53], [6, 35]]
[[0, 53], [6, 39]]
[[0, 53], [10, 11]]
[[0, 53], [10, 23]]
[[0, 53], [10, 43]]
[[0, 53], [10, 55]]
[[0, 53], [22, 23]]
[[0, 53], [22, 55]]
[[0, 53], [34, 3]]
[[0, 53], [34, 11]]
[[0, 53], [34, 23]]
[[0, 53], [34, 35]]
[[0, 53], [34, 43]]
[[0, 53], [34, 55]]
[[0, 53], [38, 3]]
[[0, 53], [38, 7]]
[[0, 53], [38, 35]]
[[0, 53], [38, 39]]
[[0, 53], [42, 11]]
[[0, 53], [42, 23]]
[[0, 53], [42, 43]]
[[0, 53], [42, 55]]
[[0, 53], [54, 23]]
[[0, 53], [54, 55]]
[[0, 63], [2, 3]]
[[0, 63], [2, 11]]
[[0, 63], [2, 23]]
[[0, 63], [2, 35]]
[[0, 63], [2, 43]]
[[0, 63], [2, 55]]
[[0, 63], [6, 3]]
[[0, 63], [6, 7]]
[[0, 63], [6, 35]]
[[0, 63], [6, 39]]
[[0, 63], [10, 11]]
[[0, 63], [10, 23]]
[[0, 63], [10, 43]]
[[0, 63], [10, 55]]
[[0, 63], [22, 23]]
[[0, 63], [22, 55]]
[[0, 63], [34, 3]]
[[0, 63], [34, 11]]
[[0, 63], [34, 23]]
[[0, 63], [34, 35]]
[[0, 63], [34, 43]]
[[0, 63], [34, 55]]
[[0, 63], [38, 3]]
[[0, 63], [38, 7]]
[[0, 63], [38, 35]]
