[1, 24, 13]
[3, 1, 4]
[3, 1, 14]
[3, 1, 20]
[3, 1, 24]
[3, 11, 4]
[3, 11, 14]
[3, 11, 20]
[3, 28, 4]
[3, 28, 14]
[3, 28, 20]
[6, 15, 4]
[6, 15, 8]
[6, 15, 14]
[6, 15, 20]
[6, 15, 24]
[6, 21, 2]
[6, 21, 12]
[6, 21, 18]
[6, 27, 20]
[9, 15, 4]
[9, 15, 8]
[9, 15, 14]
[9, 15, 20]
[9, 15, 24]
[9, 27, 20]
[15, 8, 13]
[15, 24, 13]
[16, 1, 4]
[16, 1, 14]
[16, 1, 20]
[16, 1, 24]
[16, 11, 4]
[16, 11, 14]
[16, 11, 20]
[16, 28, 4]
[16, 28, 14]
[16, 28, 20]
[17, 27, 20]
[21, 2, 19]
[21, 12, 4]
[21, 12, 14]
[21, 12, 20]
[21, 18, 20]
[23, 30, 12]
[23, 30, 18]
[25, 30, 12]
[25, 30, 18]
[29, 15, 4]
[29, 15, 8]
[29, 15, 14]
[29, 15, 20]
[29, 15, 24]
[29, 21, 2]
[29, 21, 12]
[29, 21, 18]
[29, 27, 20]
[30, 12, 4]
[30, 12, 14]
[30, 12, 20]
[30, 18, 20]
