[5, 21, 18]
[6, 4, 1]
[6, 4, 18]
[6, 13, 19]
[6, 17, 1]
[6, 17, 18]
[6, 21, 18]
[6, 29, 11]
[6, 29, 28]
[7, 5, 12]
[7, 5, 21]
[7, 5, 23]
[7, 5, 24]
[7, 11, 1]
[7, 11, 18]
[7, 16, 1]
[7, 16, 18]
[7, 25, 1]
[7, 25, 18]
[8, 22, 12]
[8, 22, 13]
[8, 22, 17]
[8, 22, 21]
[8, 22, 23]
[8, 22, 24]
[8, 22, 29]
[8, 26, 12]
[8, 26, 13]
[8, 26, 17]
[8, 26, 21]
[8, 26, 23]
[8, 26, 24]
[8, 26, 29]
[14, 22, 12]
[14, 22, 13]
[14, 22, 17]
[14, 22, 21]
[14, 22, 23]
[14, 22, 24]
[14, 22, 29]
[14, 26, 12]
[14, 26, 13]
[14, 26, 17]
[14, 26, 21]
[14, 26, 23]
[14, 26, 24]
[14, 26, 29]
[15, 5, 12]
[15, 5, 21]
[15, 5, 23]
[15, 5, 24]
[15, 11, 1]
[15, 11, 18]
[15, 16, 1]
[15, 16, 18]
[15, 25, 1]
[15, 25, 18]
[22, 13, 19]
[22, 17, 1]
[22, 17, 18]
[22, 21, 18]
[22, 29, 11]
[22, 29, 28]
[26, 13, 19]
[26, 17, 1]
[26, 17, 18]
[26, 21, 18]
[26, 29, 11]
[26, 29, 28]
[27, 5, 12]
[27, 5, 21]
[27, 5, 23]
[27, 5, 24]
[27, 11, 1]
[27, 11, 18]
[27, 16, 1]
[27, 16, 18]
[27, 25, 1]
[27, 25, 18]
[29, 11, 1]
[29, 11, 18]
