flight_leg_id,departure_airport,destination_airport,start_time,end_time
1,Chennai,Delhi,19,22
2,Calcutta,Chennai,11,13
3,Bangalore,Chennai,19,20
4,Bangalore,Chennai,7,8
5,Bangalore,Delhi,15,17
6,Mumbai,Bangalore,15,16
7,Mumbai,Calcutta,6,9
8,Delhi,Bangalore,6,8
9,Mumbai,Delhi,5,7
10,Delhi,Chennai,14,17
11,Delhi,Mumbai,6,8
12,Calcutta,Chennai,15,17
13,Mumbai,Chennai,16,18
14,Delhi,Chennai,13,16
15,Chennai,Bangalore,9,10
16,Bangalore,Delhi,16,18
17,Calcutta,Bangalore,7,10
18,Chennai,Delhi,16,19
19,Calcutta,Chennai,13,15
20,Delhi,Bangalore,17,19
21,Chennai,Delhi,14,17
22,Bangalore,Calcutta,20,23
23,Bangalore,Delhi,12,14
24,Chennai,Calcutta,4,6
25,Calcutta,Chennai,17,19
26,Mumbai,Delhi,11,13
27,Delhi,Mumbai,13,15
28,Chennai,Calcutta,7,9
29,Chennai,Delhi,15,18
30,Calcutta,Bangalore,2,5
